media_url,storage_key,alt_text,media_type,mime_type,file_size,bucket_name
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/gallery-03.webp,product-lines/ao-khue-don/gallery-03.webp,Áo Khuê Đơn - ảnh 3,IMAGE,image/webp,102042,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/gallery-04.webp,product-lines/ao-khue-don/gallery-04.webp,Áo Khuê Đơn - ảnh 4,IMAGE,image/webp,157340,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/gallery-05.webp,product-lines/ao-khue-don/gallery-05.webp,Áo Khuê Đơn - ảnh 5,IMAGE,image/webp,127638,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-khue-don/gallery-06.webp,product-lines/ao-khue-don/gallery-06.webp,Áo Khuê Đơn - ảnh 6,IMAGE,image/webp,145108,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-phuong-thanh/main.webp,product-lines/dam-phuong-thanh/main.webp,Đầm Phương Thanh - ảnh chính,IMAGE,image/webp,116182,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-phuong-thanh/gallery-01.webp,product-lines/dam-phuong-thanh/gallery-01.webp,Đầm Phương Thanh - ảnh 1,IMAGE,image/webp,116182,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-phuong-thanh/gallery-02.webp,product-lines/dam-phuong-thanh/gallery-02.webp,Đầm Phương Thanh - ảnh 2,IMAGE,image/webp,120824,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-phuong-thanh/gallery-03.webp,product-lines/dam-phuong-thanh/gallery-03.webp,Đầm Phương Thanh - ảnh 3,IMAGE,image/webp,110758,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-phuong-thanh/gallery-04.webp,product-lines/dam-phuong-thanh/gallery-04.webp,Đầm Phương Thanh - ảnh 4,IMAGE,image/webp,130802,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/main.webp,product-lines/dam-chi-huynh/main.webp,Đầm Chi Huỳnh - ảnh chính,IMAGE,image/webp,126944,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-01.webp,product-lines/dam-chi-huynh/gallery-01.webp,Đầm Chi Huỳnh - ảnh 1,IMAGE,image/webp,126944,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-02.webp,product-lines/dam-chi-huynh/gallery-02.webp,Đầm Chi Huỳnh - ảnh 2,IMAGE,image/webp,125938,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-03.webp,product-lines/dam-chi-huynh/gallery-03.webp,Đầm Chi Huỳnh - ảnh 3,IMAGE,image/webp,121382,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-04.webp,product-lines/dam-chi-huynh/gallery-04.webp,Đầm Chi Huỳnh - ảnh 4,IMAGE,image/webp,119540,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-05.webp,product-lines/dam-chi-huynh/gallery-05.webp,Đầm Chi Huỳnh - ảnh 5,IMAGE,image/webp,140348,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-06.webp,product-lines/dam-chi-huynh/gallery-06.webp,Đầm Chi Huỳnh - ảnh 6,IMAGE,image/webp,156436,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-huynh/gallery-07.webp,product-lines/dam-chi-huynh/gallery-07.webp,Đầm Chi Huỳnh - ảnh 7,IMAGE,image/webp,130530,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/main.webp,product-lines/dam-chi-man/main.webp,Đầm Chi Mạn - ảnh chính,IMAGE,image/webp,158700,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/gallery-01.webp,product-lines/dam-chi-man/gallery-01.webp,Đầm Chi Mạn - ảnh 1,IMAGE,image/webp,158700,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/gallery-02.webp,product-lines/dam-chi-man/gallery-02.webp,Đầm Chi Mạn - ảnh 2,IMAGE,image/webp,146724,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/gallery-03.webp,product-lines/dam-chi-man/gallery-03.webp,Đầm Chi Mạn - ảnh 3,IMAGE,image/webp,121006,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/gallery-04.webp,product-lines/dam-chi-man/gallery-04.webp,Đầm Chi Mạn - ảnh 4,IMAGE,image/webp,193804,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/gallery-05.webp,product-lines/dam-chi-man/gallery-05.webp,Đầm Chi Mạn - ảnh 5,IMAGE,image/webp,156436,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/dam-chi-man/gallery-06.webp,product-lines/dam-chi-man/gallery-06.webp,Đầm Chi Mạn - ảnh 6,IMAGE,image/webp,130530,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/main.webp,product-lines/set-ha-chi/main.webp,Set Hà Chi - ảnh chính,IMAGE,image/webp,143884,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-01.webp,product-lines/set-ha-chi/gallery-01.webp,Set Hà Chi - ảnh 1,IMAGE,image/webp,143884,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-02.webp,product-lines/set-ha-chi/gallery-02.webp,Set Hà Chi - ảnh 2,IMAGE,image/webp,135128,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-03.webp,product-lines/set-ha-chi/gallery-03.webp,Set Hà Chi - ảnh 3,IMAGE,image/webp,213648,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-04.webp,product-lines/set-ha-chi/gallery-04.webp,Set Hà Chi - ảnh 4,IMAGE,image/webp,138376,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-05.webp,product-lines/set-ha-chi/gallery-05.webp,Set Hà Chi - ảnh 5,IMAGE,image/webp,157550,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-06.webp,product-lines/set-ha-chi/gallery-06.webp,Set Hà Chi - ảnh 6,IMAGE,image/webp,166244,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-chi/gallery-07.webp,product-lines/set-ha-chi/gallery-07.webp,Set Hà Chi - ảnh 7,IMAGE,image/webp,164092,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/main.webp,product-lines/set-ha-nhu/main.webp,Set Hà Như - ảnh chính,IMAGE,image/webp,116502,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/gallery-01.webp,product-lines/set-ha-nhu/gallery-01.webp,Set Hà Như - ảnh 1,IMAGE,image/webp,116502,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/gallery-02.webp,product-lines/set-ha-nhu/gallery-02.webp,Set Hà Như - ảnh 2,IMAGE,image/webp,150338,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/gallery-03.webp,product-lines/set-ha-nhu/gallery-03.webp,Set Hà Như - ảnh 3,IMAGE,image/webp,122842,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/gallery-04.webp,product-lines/set-ha-nhu/gallery-04.webp,Set Hà Như - ảnh 4,IMAGE,image/webp,157550,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/gallery-05.webp,product-lines/set-ha-nhu/gallery-05.webp,Set Hà Như - ảnh 5,IMAGE,image/webp,166244,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/set-ha-nhu/gallery-06.webp,product-lines/set-ha-nhu/gallery-06.webp,Set Hà Như - ảnh 6,IMAGE,image/webp,164092,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chau/main.webp,product-lines/ao-quy-chau/main.webp,Áo Quý Châu - ảnh chính,IMAGE,image/webp,92924,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chau/gallery-01.webp,product-lines/ao-quy-chau/gallery-01.webp,Áo Quý Châu - ảnh 1,IMAGE,image/webp,92924,product-media
